50 7
0 0.036 0.26 0.62 0.09 0 0
0 0.038 0.43 0.46 0.081 0 0
0 0 0.18 0.71 0.11 0 0
0 0.0019 0.11 0.77 0.12 0.0038 0
0 0 0.058 0.64 0.3 0 0
0 0.015 0.11 0.82 0.051 0 0
0 0 0.27 0.64 0.088 0 0
0 0.019 0.45 0.52 0.0094 0 0
0 0 0.084 0.67 0.24 0.0075 0
0 0.03 0.42 0.51 0.041 0 0
0.0056 0.021 0.29 0.58 0.1 0.0056 0
0 0.0038 0.2 0.7 0.096 0.0019 0
0 0 0.045 0.5 0.45 0 0
0 0.0019 0.24 0.41 0.35 0.0019 0
0 0.0056 0.15 0.51 0.33 0.0019 0
0 0 0.2 0.68 0.12 0 0
0 0.0075 0.35 0.58 0.056 0 0
0 0.028 0.47 0.47 0.028 0.0019 0
0 0.019 0.53 0.42 0.036 0 0
0 0.068 0.57 0.34 0.019 0 0
0 0.03 0.28 0.53 0.15 0.0094 0
0 0 0.081 0.54 0.36 0.015 0
0 0.0056 0.4 0.56 0.039 0 0
0 0 0.041 0.63 0.29 0.036 0
0 0.0019 0.094 0.66 0.24 0.0075 0
0 0.0038 0.11 0.63 0.23 0.021 0.0038
0 0 0.23 0.67 0.09 0.0019 0
0 0.013 0.18 0.5 0.31 0.0019 0
0 0.0019 0.32 0.43 0.21 0.032 0
0 0.017 0.17 0.73 0.083 0.0019 0
0 0 0.27 0.63 0.099 0.0019 0
0 0.039 0.27 0.58 0.12 0 0
0.088 0.38 0.45 0.069 0.0038 0 0
0.047 0.43 0.37 0.14 0.015 0 0
0.041 0.4 0.43 0.11 0.013 0 0
0 0.14 0.51 0.31 0.038 0.0019 0
0.0075 0.14 0.61 0.21 0.036 0 0
0.086 0.39 0.43 0.079 0.0094 0 0
0.0094 0.19 0.46 0.29 0.045 0.0019 0
0.0056 0.12 0.39 0.44 0.045 0.0019 0
0.011 0.29 0.49 0.2 0.011 0 0
0.0094 0.092 0.63 0.23 0.034 0.0019 0
0.0038 0.023 0.18 0.68 0.11 0.0019 0
0.0094 0.17 0.45 0.3 0.058 0.0056 0
0.0075 0.081 0.36 0.45 0.1 0.0038 0
0.0056 0.38 0.37 0.16 0.084 0.0019 0
0.0019 0.071 0.38 0.5 0.053 0.0019 0
0.0056 0.22 0.58 0.16 0.028 0 0
0.019 0.26 0.59 0.12 0.0094 0 0
0.054 0.46 0.34 0.15 0.0038 0 0
